StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,gender_respondent,age,citizenship,race,race_5_TEXT,city_1,ideology,party,employment,education_alt,military,military_5_TEXT,military_family,bp1,bp2,bp3,bp4,bp5,bp6,bp7,cp1,cp2,cp3,cp4,cp5,cp6,cp7,ns1,ns2,ns3,ns4,pp_1,pp_2,pp_3,pp_4,pp_5,mc_general,mc_economy,mc_security,mc_culture,attention1,attentıon2,random_id,Random ID,threat_v,Q_DataPolicyViolations
2025-03-17 09:29:22,2025-03-17 09:29:22,Survey Test,,100,0,True,2025-03-17 09:29:22,R_1TT2om5tXOB5hFs,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Pretium, ultrices est ab imperdiet convallis donec sagittis praesent integer.",Evet,Laz,,Kilis,Ne sağ ne sol,Hükûmet,İşsiz fakat iş aramayan,"Pede massa. Scelerisque, platea wisi. Accusamus! Phasellus eu dui! Massa duis magna sollicitudin turpis pretium.",Bedelli,,Cevap vermek istemiyorum,4,4,3,3,3,5,1,1,4,4,4,2,2,1,5,2,2,2,3,1,4,3,5,,,,Güvenlik,Hayvan hakları,2,"Amet sed ultricies vehicula, ac lorem praesent dui vel nec.",72036,culture,
2025-03-17 09:29:23,2025-03-17 09:29:23,Survey Test,,100,0,True,2025-03-17 09:29:23,R_cGCaBu9MgtRtnlY,,,,,,,test,,Erkek,Mauris? Ut tempus dolorem in? Sit vulputate ac leo quam nonummy tortor dolor? Convallis velit.,Hayır,Boşnak,,Kastamonu,Sağ,Hiçbirisi,İşsiz ve iş arayan,Elementum justo morbi eleifend sagittis metus potenti dignissim nec natoque. Consequat.,Cevap vermek istemiyorum,,Cevap vermek istemiyorum,1,5,4,5,4,1,2,3,5,4,1,3,5,4,5,2,1,1,3,5,3,5,3,,Kültür,,,Göç,4,"Eget, porta dolorem platea platea. Lorem. Vivamus sit sodales auctor pretium. Lectus duis. Pharetra.",75214,economy,
2025-03-17 09:29:23,2025-03-17 09:29:23,Survey Test,,100,0,True,2025-03-17 09:29:23,R_38J4VoC972v5udg,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Laoreet risus ac nec. Donec leo molestie interdum culpa? Velit.,Hayır,Boşnak,,Erzincan,Sol,Muhalefet,Emekli,Duis? Suspendisse est massa. Ultrices a lacus vehicula donec sem platea euismod.,Diğer,Curabitur orci fusce justo per proin mattis? Accumsan tellus. Lectus.,Hayır,2,5,1,1,1,2,3,1,4,5,5,3,2,4,2,3,3,2,1,4,3,4,3,,,,,Tıp,4,Dolor proin morbi est accusamus non integer. Montes? Aenean placerat.,62372,placebo,
2025-03-17 09:29:23,2025-03-17 09:29:23,Survey Test,,100,0,True,2025-03-17 09:29:23,R_1IaEwlaQ6aRSTEa,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Est massa felis fermentum vel mi temporibus, purus vehicula mattis lectus, quam ab tempor magnis.",Hayır,Roman,,Isparta,Ne sağ ne sol,Muhalefet,Yarı zamanlı çalışan,"Consequat malesuada tempus est dui montes magna dignissim, quam! Eu culpa bibendum magna mi.",Cevap vermek istemiyorum,,Hayır,5,2,5,1,3,2,2,1,4,2,3,1,2,2,5,5,1,1,4,2,1,5,5,,,,Ekonomik,Hayvan hakları,1,"Consequat aenean? Eget culpa dignissim eleifend arcu tortor! Accusamus, lorem.",70419,culture,
2025-03-17 09:29:24,2025-03-17 09:29:24,Survey Test,,100,0,True,2025-03-17 09:29:24,R_bDf0RAF2cHuTxK6,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Vulputate magna turpis suscipit sit? Posuere sed lectus pede accumsan urna ab.,Evet,Gürcü,,Ağrı,Sağ,Hiçbirisi,Yarı zamanlı çalışan,Pharetra. Tincidunt ridiculus! Auctor rhoncus. Tincidunt vulputate? Placerat. Facilisi cras turpis.,Bedelli,,Cevap vermek istemiyorum,3,5,3,4,4,5,1,4,2,2,1,4,5,4,4,1,4,3,4,5,1,1,3,,,,,Göç,2,Vestibulum natoque! Massa egestas consequat nonummy phasellus magnis morbi euismod metus facilisi quis! Dui.,51331,placebo,
2025-03-17 09:29:24,2025-03-17 09:29:24,Survey Test,,100,0,True,2025-03-17 09:29:24,R_0wGbUo3dv5YVN4y,,,,,,,test,,Erkek,Posuere fusce luctus consectetuer! Ullamcorper? Tincidunt tempora rutrum primis viverra. Purus arcu.,Evet,Bilmiyorum,,Karabük,Ne sağ ne sol,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,Egestas integer posuere et posuere magnis donec purus et pretium mattis iaculis? Sollicitudin accumsan.,Diğer,"Sollicitudin magnis, dolor vivamus interdum a? Faucibus. Leo pharetra culpa. Ultrices tempora sapien atque.",Hayır,2,3,4,3,3,1,3,5,3,3,5,1,5,4,3,1,5,2,5,3,3,5,2,,Ekonomi,,,Tıp,1,Placerat risus ultrices. Dictumst in sagittis aliquam erat. Sapien sapien? Faucibus.,13407,economy,
2025-03-17 09:29:24,2025-03-17 09:29:24,Survey Test,,100,0,True,2025-03-17 09:29:24,R_ezZHS9cXwmx4omi,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Atque? In, malesuada? Consequat dapibus ridiculus. Non metus enim suspendisse pharetra.",Evet,Çerkez,,Siirt,Sağ,Hiçbirisi,Yarı zamanlı çalışan,Rhoncus ante donec augue! Laoreet? Imperdiet morbi faucibus eleifend pretium.,Cevap vermek istemiyorum,,Cevap vermek istemiyorum,3,1,4,5,1,5,4,3,5,5,5,1,1,1,4,4,3,2,3,5,2,3,3,,Güvenlik,,,Göç,1,Magnis pharetra placerat dignissim vitae facilisi blandit metus nunc. Enim.,64538,economy,
2025-03-17 09:29:25,2025-03-17 09:29:25,Survey Test,,100,0,True,2025-03-17 09:29:25,R_6Am4kIZA3VHgBtc,,,,,,,test,,Erkek,"Ut, luctus, orci. Potenti eget iaculis porta integer! Vestibulum per duis fringilla. Vehicula.",Hayır,Roman,,Aksaray,Sağ,Hiçbirisi,Tam zamanlı çalışan/İşyeri sahibi,"Suspendisse ac et sit non velit mattis. Tortor aenean, sit volutpat laoreet. Ante et iaculis.",Diğer,"Natoque potenti dignissim maecenas dapibus, sapien cras facilisi erat morbi. Montes. Luctus nonummy euismod ipsum.",Evet,4,4,2,4,2,4,3,4,4,2,3,3,1,5,5,1,1,2,2,1,4,5,2,,Kültür,,,Göç,1,Curabitur sapien bibendum rutrum! Fringilla. Molestie dapibus ut velit proin! Primis imperdiet.,35702,economy,
2025-03-17 09:29:25,2025-03-17 09:29:25,Survey Test,,100,0,True,2025-03-17 09:29:25,R_d3T81xYQfDPZIDI,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Purus non culpa dapibus accumsan sit eros aliquam aenean, quis.",Evet,Kürt,,Uşak,Sol,Hükûmet,Emekli,Magna praesent orci dui fermentum. Mauris vestibulum primis tellus faucibus erat tempora elit felis placerat.,Yapma zorunluluğum yok,,Hayır,4,5,2,4,5,1,4,3,1,1,4,4,1,3,4,1,1,4,4,1,3,3,5,,,,Ekonomik,Astronomi,3,"Dolor consequat praesent, purus vel vehicula justo. Nec ligula venenatis? Cras aenean.",55752,culture,
2025-03-17 09:29:25,2025-03-17 09:29:25,Survey Test,,100,0,True,2025-03-17 09:29:25,R_ehyTtM30Rz1dQWi,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Ut scelerisque odio eleifend id egestas at pharetra, velit odio dolorem.",Evet,Gürcü,,Kırşehir,Sol,Hükûmet,Tam zamanlı çalışan/İşyeri sahibi,Turpis tempora aenean. Gravida nonummy dapibus orci dolorem aenean. Aliquam.,Bedelli,,Cevap vermek istemiyorum,3,3,1,5,1,2,2,2,3,2,3,3,5,3,2,3,2,5,4,4,3,4,2,,,,,Astronomi,2,Atque aliquam sagittis id dignissim leo at vel scelerisque ante.,84272,placebo,
2025-03-17 09:29:26,2025-03-17 09:29:26,Survey Test,,100,0,True,2025-03-17 09:29:26,R_7QaB7sK7sVCfAvs,,,,,,,test,,Kadın,Accumsan nonummy. Tempus. Venenatis sagittis turpis pellentesque id per. Pede! Mi nec.,Hayır,Kürt,,Tunceli,Ne sağ ne sol,Muhalefet,Emekli,"Suspendisse nulla phasellus, lectus at dui lacus. Sodales, venenatis. Vulputate.",Evet (uzun veya kısa dönem),,Cevap vermek istemiyorum,5,5,3,3,4,5,4,1,1,2,5,5,1,2,5,5,5,1,3,5,4,5,3,,,,Kültürel,Tıp,2,"Primis, quis vivamus. Morbi mauris pharetra integer accusamus cras. Aliquam suspendisse maecenas.",95915,culture,
2025-03-17 09:29:26,2025-03-17 09:29:26,Survey Test,,100,0,True,2025-03-17 09:29:26,R_bDBqBj0OO5lA6Gy,,,,,,,test,,Kadın,"Fringilla, etiam. Sed maecenas sapien primis ac placerat mi! Sodales convallis suscipit gravida vel.",Hayır,Gürcü,,Kastamonu,Sağ,Muhalefet,Emekli,"Dolorem donec ut dignissim! Ligula est, erat. Ante nullam! Augue pellentesque.",Bedelli,,Hayır,3,1,2,1,5,5,1,3,4,5,4,4,2,5,4,4,1,2,5,4,5,1,1,Afganistan,,,,Tıp,3,Felis enim ridiculus tempora sapien ab wisi fringilla purus aenean erat.,89566,general,
2025-03-17 09:29:26,2025-03-17 09:29:26,Survey Test,,100,0,True,2025-03-17 09:29:26,R_5yz42nLxPVUpl9s,,,,,,,test,,Erkek,Consectetuer eget suspendisse id ullamcorper aenean vehicula ac massa placerat. Diam rhoncus curabitur.,Evet,Gürcü,,Aksaray,Sol,Hiçbirisi,İşsiz fakat iş aramayan,Metus tempus accusamus pharetra potenti integer nulla non bibendum ullamcorper.,Yapma zorunluluğum yok,,Evet,3,2,5,2,4,5,2,5,3,3,5,2,2,3,2,3,2,5,2,3,3,3,3,,,Kültürel,,Tıp,1,Posuere. Porta diam amet iaculis. Donec fringilla sem venenatis facilisis.,19369,security,
2025-03-17 09:29:27,2025-03-17 09:29:27,Survey Test,,100,0,True,2025-03-17 09:29:27,R_6msK8QZbiEGBtHw,,,,,,,test,,Kadın,Auctor placerat montes? Dapibus platea rhoncus vivamus. Sodales aenean placerat.,Evet,Kürt,,Rize,Sağ,Hiçbirisi,İşsiz ve iş arayan,Dapibus risus ante tempus malesuada suspendisse! Dolorem tempora aenean rhoncus neque morbi.,Bedelli,,Evet,2,2,5,4,5,5,2,4,3,4,1,4,4,4,1,4,3,4,3,2,5,5,3,,,Güvenlik,,Göç,1,Potenti per sem pharetra bibendum sollicitudin tortor quam. Vel neque! Fusce ridiculus culpa. Bibendum ultricies.,75125,security,
2025-03-17 09:29:27,2025-03-17 09:29:27,Survey Test,,100,0,True,2025-03-17 09:29:27,R_a9m5jgul03ghgrk,,,,,,,test,,Kadın,Vel consectetuer pretium accumsan a a interdum mauris? Molestie fermentum pede.,Evet,Kürt,,Yozgat,Ne sağ ne sol,Muhalefet,İşsiz fakat iş aramayan,"Interdum mattis? Ultrices justo duis, euismod vehicula platea? Id facilisi in.",Diğer,Mattis! Pretium. Proin mi fringilla rhoncus pretium? Eleifend ante massa lacus.,Cevap vermek istemiyorum,2,5,1,3,3,1,1,1,3,2,3,3,3,2,1,1,1,2,3,2,1,5,3,,Kültür,,,Tıp,1,Cras. Atque ullamcorper augue euismod! Facilisis imperdiet mauris duis morbi? Rutrum vitae.,34382,economy,
2025-03-17 09:29:27,2025-03-17 09:29:27,Survey Test,,100,0,True,2025-03-17 09:29:28,R_1RKMLdHfnKFYTCS,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Id mi. Blandit nunc risus sed! Magna faucibus amet! Ligula cursus. Eros.,Hayır,Boşnak,,Çanakkale,Sağ,Hükûmet,Yarı zamanlı çalışan,Orci at. Tempor sagittis duis urna ullamcorper per accusamus risus. Laoreet.,Diğer,Aliquam vivamus! Velit quam. Nunc ut bibendum potenti auctor natoque. Venenatis turpis.,Cevap vermek istemiyorum,5,5,2,3,2,2,5,4,4,4,2,5,3,3,3,3,2,3,3,4,5,1,1,,,Ekonomik,,Astronomi,3,Nunc ligula est. Imperdiet! Ab posuere! Facilisi vel quam non! Rutrum vivamus? Ullamcorper facilisis.,68792,security,
2025-03-17 09:29:28,2025-03-17 09:29:28,Survey Test,,100,0,True,2025-03-17 09:29:28,R_79ABdG1lfwtXoVg,,,,,,,test,,Kadın,Tempor risus sed praesent cursus at commodo eget augue eros leo dolorem.,Evet,Boşnak,,Samsun,Ne sağ ne sol,Muhalefet,İşsiz ve iş arayan,At fusce eget montes amet laoreet cras! Eu! Atque massa.,Cevap vermek istemiyorum,,Evet,4,4,4,1,3,1,1,5,5,4,1,3,2,5,1,3,1,5,2,1,1,1,5,,Güvenlik,,,Göç,1,Id eleifend suspendisse curabitur! Dolorem volutpat mattis at? Ultricies per sem? Magna.,77084,economy,
2025-03-17 09:29:28,2025-03-17 09:29:28,Survey Test,,100,0,True,2025-03-17 09:29:28,R_db6b45WSrTn0akC,,,,,,,test,,Erkek,Consectetuer tortor bibendum leo? Ante nulla ultrices? Platea nunc mi.,Hayır,Roman,,Eskişehir,Ne sağ ne sol,Hiçbirisi,İşsiz ve iş arayan,Ridiculus purus atque pede justo cursus. Sem fringilla! Odio augue primis rhoncus. Sapien.,Yapma zorunluluğum yok,,Hayır,1,1,4,4,2,1,3,4,2,2,3,2,3,5,2,3,3,3,3,5,4,1,1,,,,Güvenlik,Göç,1,Montes tellus. Ridiculus non dapibus mattis risus viverra purus? Eleifend ut phasellus volutpat morbi nec.,78514,culture,
2025-03-17 09:29:28,2025-03-17 09:29:28,Survey Test,,100,0,True,2025-03-17 09:29:29,R_6CYC02oC5xWPLYa,,,,,,,test,,Erkek,Natoque eleifend morbi nonummy integer ullamcorper erat laoreet montes purus quam.,Hayır,Türk,,Bitlis,Ne sağ ne sol,Muhalefet,Yarı zamanlı çalışan,"Suspendisse tortor ac? Orci, iaculis tempora integer proin, phasellus id luctus, ridiculus eget ac.",Evet (uzun veya kısa dönem),,Hayır,1,3,5,3,1,5,3,5,3,1,2,3,3,2,3,4,3,2,5,4,3,5,1,,,,,Tıp,3,"Urna iaculis praesent? Proin nulla! Suspendisse gravida nunc eget, velit porttitor pretium vel pellentesque purus.",14118,placebo,
2025-03-17 09:29:29,2025-03-17 09:29:29,Survey Test,,100,0,True,2025-03-17 09:29:29,R_0lfOkPo6W5AhAKG,,,,,,,test,,Kadın,Nonummy nibh lectus! Arcu eu ac auctor. Nec. Viverra? Arcu lorem enim.,Hayır,Türk,,Siirt,Sol,Hükûmet,Tam zamanlı çalışan/İşyeri sahibi,"Porta accumsan tortor lacus nibh arcu sed accumsan, lacus. Erat per ac, viverra rhoncus.",Bedelli,,Hayır,5,3,3,5,2,1,3,4,4,2,1,4,2,1,4,2,4,4,1,2,1,5,1,,,,Ekonomik,Astronomi,4,"Tempus nibh nibh viverra per pede euismod sagittis? Morbi arcu commodo sollicitudin malesuada, metus metus.",68582,culture,
2025-03-17 09:29:29,2025-03-17 09:29:29,Survey Test,,100,0,True,2025-03-17 09:29:29,R_9G0WuHgRY5dUVQa,,,,,,,test,,Kadın,"Temporibus nibh augue imperdiet fringilla bibendum aenean consequat dictumst curabitur iaculis, malesuada aliquam? Suspendisse.",Hayır,Gürcü,,Kocaeli,Sol,Hükûmet,Emekli,Primis turpis praesent. Ipsum neque gravida aliquet commodo lectus nulla blandit posuere non? Eros.,Cevap vermek istemiyorum,,Evet,3,4,4,4,2,2,1,3,4,3,4,5,5,5,2,5,2,1,3,3,1,5,2,,Güvenlik,,,Astronomi,3,"Eu. Interdum auctor quis laoreet fringilla! Eleifend nec, molestie quis interdum suscipit.",80883,economy,
2025-03-17 09:29:29,2025-03-17 09:29:30,Survey Test,,100,1,True,2025-03-17 09:29:30,R_55ZgaiMTAqI5Mk6,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Leo tellus convallis eget venenatis cursus rhoncus temporibus tempora tempor temporibus mattis. Ridiculus.,Evet,Diğer (lütfen belirtiniz),Pellentesque natoque eleifend pellentesque. Natoque volutpat eu magnis consequat egestas metus risus.,Ağrı,Sol,Muhalefet,Yarı zamanlı çalışan,Dolorem suscipit dictumst! Imperdiet amet arcu interdum viverra fringilla nonummy blandit nulla.,Cevap vermek istemiyorum,,Hayır,2,5,3,2,5,3,3,4,3,1,4,1,2,2,5,4,2,4,3,4,1,3,5,,,,Güvenlik,Hayvan hakları,4,Laoreet a duis faucibus laoreet. Maecenas. Duis rutrum iaculis. Leo tortor lorem tincidunt.,41561,culture,
2025-03-17 09:29:30,2025-03-17 09:29:30,Survey Test,,100,0,True,2025-03-17 09:29:30,R_0OpHntLsjLiVgRE,,,,,,,test,,Kadın,Sapien curabitur urna augue interdum neque. Sollicitudin sollicitudin lectus. Tempus. Erat wisi.,Evet,Boşnak,,Karabük,Sağ,Hiçbirisi,Tam zamanlı çalışan/İşyeri sahibi,Tempora dolor? Massa massa wisi enim? Vel tempor tempus? Facilisi justo dignissim in curabitur massa.,Evet (uzun veya kısa dönem),,Cevap vermek istemiyorum,2,3,1,5,5,5,5,5,4,2,3,4,4,4,4,5,2,1,3,1,3,3,1,,,Kültürel,,Hayvan hakları,1,"Primis vel ligula, felis quam rutrum diam praesent malesuada. Urna pellentesque laoreet iaculis sagittis.",72762,security,
2025-03-17 09:29:30,2025-03-17 09:29:30,Survey Test,,100,0,True,2025-03-17 09:29:30,R_4IorRkPfcXAOx0y,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Commodo? Potenti porttitor posuere facilisi ab eget facilisi vehicula nonummy aliquam.,Evet,Arap,,Malatya,Sol,Hiçbirisi,İşsiz ve iş arayan,Cras lorem consequat egestas. Accumsan! Consequat arcu. Primis. Sollicitudin pede felis eu.,Yapma zorunluluğum yok,,Evet,1,2,3,2,5,2,4,2,3,5,4,1,2,1,5,5,1,5,5,3,4,1,2,,,Kültürel,,Hayvan hakları,3,Duis a! Ante tempus amet metus tempora. Lorem iaculis laoreet? Ipsum eu.,22721,security,
2025-03-17 09:29:31,2025-03-17 09:29:31,Survey Test,,100,0,True,2025-03-17 09:29:31,R_b7yHvlHou2sU6cS,,,,,,,test,,Kadın,"Vel donec tortor quam platea commodo, volutpat morbi sem nunc tempora.",Evet,Gürcü,,Ardahan,Sağ,Hiçbirisi,İşsiz fakat iş aramayan,Rutrum mattis bibendum tempora dictumst sem pharetra metus metus magna commodo.,Diğer,Nibh ultricies. Fringilla eleifend! Arcu dictumst. Fermentum bibendum culpa tempora.,Hayır,5,5,2,5,5,3,1,5,4,2,5,4,3,5,2,5,4,2,3,2,4,1,5,,,Güvenlik,,Göç,3,Mattis. Amet bibendum blandit. Atque dolor rutrum? Sit convallis justo.,74697,security,
2025-03-17 09:29:31,2025-03-17 09:29:31,Survey Test,,100,0,True,2025-03-17 09:29:31,R_0GnALfHYLQgUET4,,,,,,,test,,Kadın,"Vivamus, culpa aliquet nec viverra aenean est fusce montes, vitae ultricies, vehicula vitae.",Hayır,Laz,,Adıyaman,Ne sağ ne sol,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,Accumsan! Accumsan nunc. Tempus? Wisi convallis a arcu tellus primis fermentum fermentum convallis diam neque.,Yapma zorunluluğum yok,,Hayır,2,4,1,3,3,1,1,3,3,5,1,2,2,1,2,4,5,1,2,5,4,2,1,,Ekonomi,,,Astronomi,2,Quis eleifend potenti rutrum et tempor? Nonummy purus viverra pharetra temporibus accumsan nonummy.,17050,economy,
2025-03-17 09:29:31,2025-03-17 09:29:31,Survey Test,,100,0,True,2025-03-17 09:29:32,R_b9oGmgdh0wjTJjM,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Convallis quam eleifend. Primis ligula consectetuer tellus egestas? Ultricies eu malesuada! Cras.,Evet,Gürcü,,Giresun,Sağ,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,"Odio velit suscipit aliquet. Iaculis, dui malesuada accusamus primis quis. Eget fermentum.",Bedelli,,Hayır,3,4,1,2,1,2,1,4,5,2,3,4,2,3,1,2,3,2,3,3,4,1,3,,,,Kültürel,Hayvan hakları,4,Turpis ligula natoque? Non culpa sollicitudin nunc ab pharetra sit laoreet.,61410,culture,
2025-03-17 09:29:32,2025-03-17 09:29:32,Survey Test,,100,0,True,2025-03-17 09:29:32,R_bBm9nVoDUwGhq62,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Metus dapibus pede auctor suscipit primis etiam venenatis accumsan facilisis? Culpa cursus turpis.,Hayır,Cevap vermek istemiyorum,,Zonguldak,Sağ,Hükûmet,İşsiz ve iş arayan,"Atque, malesuada tempora. Fermentum justo. Sagittis et mattis ligula primis sem! Per posuere.",Evet (uzun veya kısa dönem),,Hayır,3,3,4,5,3,1,3,3,5,1,2,4,1,5,3,1,4,1,5,5,4,5,5,,,,,Göç,4,Sagittis odio morbi odio nonummy? Convallis. Dolor mi tempor ante phasellus amet.,74775,placebo,
2025-03-17 09:29:32,2025-03-17 09:29:32,Survey Test,,100,0,True,2025-03-17 09:29:32,R_bfoEblGMmMpciXQ,,,,,,,test,,Kadın,"Vivamus tellus! Eros tempus et luctus pede suspendisse vulputate per lacus vestibulum, eleifend cras cras.",Evet,Cevap vermek istemiyorum,,Kütahya,Ne sağ ne sol,Hükûmet,İşsiz fakat iş aramayan,Montes malesuada vulputate. A? Ac id mauris non wisi? Fusce euismod arcu.,Diğer,"Purus, eget, posuere venenatis ligula proin lorem platea natoque. Pede? In? Vulputate.",Hayır,5,5,1,1,1,1,2,4,4,1,1,4,5,1,5,1,2,2,3,2,1,4,4,,,,Kültürel,Astronomi,1,Ab vivamus venenatis aliquam! Erat integer vestibulum per nonummy sed. Pharetra dapibus ligula porttitor cras.,93672,culture,
2025-03-17 09:29:32,2025-03-17 09:29:32,Survey Test,,100,0,True,2025-03-17 09:29:33,R_6gTkcMCcelUkPNc,,,,,,,test,,Erkek,"Id bibendum wisi amet! Accusamus orci diam tincidunt. Eget consequat, metus commodo dignissim.",Hayır,Gürcü,,Sinop,Sol,Hiçbirisi,İşsiz fakat iş aramayan,"Lacus. Diam dapibus? Augue. Imperdiet non donec sit luctus, praesent ac magna, velit ac rutrum.",Evet (uzun veya kısa dönem),,Hayır,5,1,4,2,3,5,1,3,2,3,3,2,4,3,5,5,1,1,4,1,5,4,5,,,Ekonomik,,Göç,1,"Dignissim etiam. Tempor nulla enim potenti. Suspendisse, posuere, pharetra proin? Ullamcorper! Platea nulla scelerisque.",47447,security,
2025-03-17 09:29:33,2025-03-17 09:29:33,Survey Test,,100,0,True,2025-03-17 09:29:33,R_aXkOKVyGZrPibQO,,,,,,,test,,Erkek,Euismod massa. Wisi volutpat dictumst vitae lorem nibh potenti dictumst consequat? Potenti porta scelerisque.,Evet,Kürt,,Konya,Ne sağ ne sol,Hiçbirisi,Yarı zamanlı çalışan,"Morbi, ligula consectetuer integer aenean, enim ac. Aliquet dignissim. Iaculis morbi platea bibendum.",Diğer,"Per interdum fusce vestibulum egestas aenean eros sit metus ultricies vel, nec pede.",Evet,2,5,2,2,1,1,3,4,2,2,2,3,1,5,3,3,2,1,5,4,3,3,5,,Ekonomi,,,Hayvan hakları,3,Massa wisi. Rutrum odio porttitor dignissim blandit sodales suspendisse. Eleifend.,14171,economy,
2025-03-17 09:29:33,2025-03-17 09:29:33,Survey Test,,100,0,True,2025-03-17 09:29:33,R_03bOV1HfOBhK2Pk,,,,,,,test,,Erkek,"Gravida. Commodo ullamcorper, praesent vestibulum montes accumsan nulla eleifend vivamus aliquam nunc aenean placerat.",Evet,Gürcü,,Batman,Sol,Muhalefet,Yarı zamanlı çalışan,"Fermentum quis potenti et imperdiet justo euismod. Praesent primis bibendum cras. Lorem curabitur, eu sapien.",Yapma zorunluluğum yok,,Hayır,1,4,4,2,4,3,5,4,3,1,4,4,3,1,5,1,5,5,2,3,2,3,3,,,,Güvenlik,Hayvan hakları,4,"Per pretium culpa nulla! Posuere quam sapien et, morbi molestie mi est mi.",17321,culture,
2025-03-17 09:29:33,2025-03-17 09:29:33,Survey Test,,100,0,True,2025-03-17 09:29:34,R_6Ro23UIQK94G1lc,,,,,,,test,,Erkek,"Nulla malesuada, integer lorem metus odio lectus. Est nulla. Et accumsan! Augue ab proin.",Hayır,Boşnak,,Isparta,Ne sağ ne sol,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,"Magnis maecenas ultricies magnis consectetuer, elementum vel ac ridiculus ac turpis! Cras mi curabitur convallis.",Yapma zorunluluğum yok,,Cevap vermek istemiyorum,1,4,4,3,3,4,1,3,1,5,5,1,3,3,3,5,5,2,5,3,3,5,5,,,,Güvenlik,Astronomi,2,"Ultricies porttitor sagittis. Justo sem nullam. Quis ligula rutrum quis cras, accusamus pellentesque accumsan.",79525,culture,
2025-03-17 09:29:34,2025-03-17 09:29:34,Survey Test,,100,0,True,2025-03-17 09:29:34,R_6yDHN95GR0EaKdE,,,,,,,test,,Erkek,"Justo rutrum vestibulum sagittis, ab quam! Risus imperdiet? Elementum. Pharetra cursus.",Hayır,Laz,,Tunceli,Sol,Muhalefet,Emekli,Praesent ultricies sodales felis sodales quam pharetra phasellus malesuada. Cras magna. Tellus metus curabitur egestas.,Bedelli,,Cevap vermek istemiyorum,4,5,4,1,3,5,1,1,1,2,2,2,5,4,2,5,1,3,2,4,5,5,5,Ukrayna,,,,Göç,2,Aliquet porttitor. Orci convallis pretium pellentesque? Mauris tempora malesuada. Sollicitudin molestie tincidunt eu.,77259,general,
2025-03-17 09:29:34,2025-03-17 09:29:34,Survey Test,,100,0,True,2025-03-17 09:29:34,R_25WOCjJUMYAKOP4,,,,,,,test,,Kadın,"Ipsum erat nulla auctor tincidunt suspendisse in rhoncus? A, ultricies! Neque curabitur.",Evet,Diğer (lütfen belirtiniz),Velit non ridiculus ab mattis potenti non nullam sodales tempora facilisi potenti felis.,Mardin,Sol,Hiçbirisi,Tam zamanlı çalışan/İşyeri sahibi,Rhoncus proin eros erat eros id egestas convallis pharetra. Volutpat.,Cevap vermek istemiyorum,,Hayır,2,4,2,2,3,2,4,1,2,2,1,4,2,1,5,4,4,1,5,4,4,3,5,,,,,Hayvan hakları,3,"Ultricies lacus duis! Augue nulla phasellus. Gravida rhoncus ab? Posuere, ullamcorper justo fringilla sed.",85398,placebo,
2025-03-17 09:29:34,2025-03-17 09:29:34,Survey Test,,100,0,True,2025-03-17 09:29:35,R_8IeYxMQdOJwJSYu,,,,,,,test,,Erkek,Ridiculus wisi? Mauris ut quam potenti vivamus. Nunc tincidunt aliquet.,Evet,Boşnak,,Bayburt,Sağ,Hükûmet,Yarı zamanlı çalışan,"Ridiculus ullamcorper neque, tempora vulputate egestas imperdiet justo purus. Magna rhoncus? Suspendisse eget sed.",Cevap vermek istemiyorum,,Hayır,4,5,3,2,4,2,4,3,1,2,2,4,2,5,3,5,4,1,5,2,1,2,5,,,Ekonomik,,Astronomi,4,Turpis integer felis at dictumst culpa volutpat? Risus posuere rutrum.,36199,security,
2025-03-17 09:29:35,2025-03-17 09:29:35,Survey Test,,100,0,True,2025-03-17 09:29:35,R_dm3biDZXShA7OrY,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Interdum proin fusce? Tincidunt suscipit sollicitudin venenatis in venenatis vestibulum! Vivamus.,Evet,Boşnak,,Nevşehir,Sol,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,Risus ac? Odio tempor commodo? Praesent. Gravida sem ultrices dolorem magnis velit etiam.,Evet (uzun veya kısa dönem),,Cevap vermek istemiyorum,2,5,1,1,1,4,4,3,2,4,1,2,3,2,5,2,5,1,2,3,5,2,1,Suriye,,,,Astronomi,4,"Ut sem. Lorem egestas aenean commodo, aliquam in pede pharetra pede bibendum.",86295,general,
